Model,Balanced,Setting,Links,Accuracy (%),Precision (%),Recall (%),F1-score (%),AUROC (95% CI)
logistic_regression,under,inductive,all,95.71,62.47,66.77,64.26,87.38 (86.21-88.56)
random_forest,under,inductive,all,94.15,58.92,67.46,61.52,85.64 (84.41-86.87)
knn,under,inductive,all,95.44,60.28,63.59,61.67,87.09 (85.90-88.27)
logistic_regression,under,inductive,wards,95.81,63.05,67.33,64.84,88.08 (86.93-89.22)
random_forest,under,inductive,wards,97.36,64.08,50.26,49.88,84.35 (83.07-85.62)
knn,under,inductive,wards,95.19,61.10,67.41,63.44,87.61 (86.45-88.78)
logistic_regression,under,inductive,caregivers,95.37,61.77,67.88,64.09,87.79 (86.63-88.95)
random_forest,under,inductive,caregivers,95.19,60.98,67.08,63.25,86.94 (85.75-88.13)
knn,under,inductive,caregivers,95.93,62.52,64.86,63.58,87.54 (86.37-88.71)
logistic_regression,non,inductive,all,96.06,63.42,65.70,64.46,87.37 (86.20-88.55)
random_forest,non,inductive,all,94.92,58.87,63.46,60.59,86.95 (85.76-88.14)
knn,non,inductive,all,96.00,60.95,60.95,60.95,74.10 (72.61-75.58)
logistic_regression,non,inductive,wards,96.21,63.83,64.87,64.33,86.75 (85.55-87.95)
random_forest,non,inductive,wards,94.03,58.84,67.83,61.51,87.58 (86.41-88.75)
gnn,under,inductive,all,96.31,60.96,58.60,59.62,83.06 (81.75-84.37)
gnn,under,inductive,wards,94.73,58.55,63.64,60.39,84.13 (82.85-85.41)
gnn,under,inductive,caregivers,97.17,65.65,53.71,55.64,82.37 (81.04-83.70)
gnn,non,inductive,all,96.47,65.71,66.01,65.86,89.12 (88.02-90.23)
gnn,non,inductive,wards,97.20,71.28,63.18,66.19,91.24 (90.23-92.25)
gnn,non,inductive,caregivers,91.20,57.70,75.26,60.59,87.63 (86.46-88.79)
gnn,over,inductive,all,95.00,59.77,65.19,61.78,83.92 (82.63-85.20)
gnn,over,inductive,wards,95.42,60.76,64.90,62.44,87.54 (86.37-88.70)
gnn,over,inductive,caregivers,72.25,53.01,74.27,48.07,83.01 (81.70-84.33)
gnn,under,transductive,all,95.23,59.46,63.11,60.93,82.72 (81.40-84.04)
gnn,under,transductive,wards,76.64,54.06,79.87,51.10,83.65 (82.36-84.94)
gnn,under,transductive,caregivers,91.82,55.95,66.39,57.97,80.27 (78.89-81.65)
gnn,non,transductive,all,94.85,64.70,84.22,69.99,93.91 (93.05-94.77)
gnn,non,transductive,wards,97.12,73.25,87.82,78.62,96.37 (95.69-97.05)
gnn,non,transductive,caregivers,96.21,63.92,65.14,64.50,89.18 (88.08-90.28)
gnn,over,transductive,all,92.16,54.65,61.40,56.07,73.58 (72.09-75.07)
gnn,over,transductive,wards,85.23,53.10,64.97,52.67,71.70 (70.18-73.21)
gnn,over,transductive,caregivers,95.15,57.33,59.29,58.17,69.75 (68.22-71.28)
