Model,Balanced,Setting,Links,Accuracy (%),Precision (%),Recall (%),F1-score (%),AUROC (%)
gnn,non,inductive,no,81.37,54.84,80.51,53.91,88.75
gnn,non,inductive,wards,83.71,55.70,82.89,55.92,91.12
gnn,non,transductive,wards,95.69,67.82,89.72,74.07,96.32
catboost,non,-,-,97.68,87.19,58.33,63.18,90.61
catboost,over,inductive,no,84.95,55.82,81.33,56.48,90.41
catboost,non,transductive,wards,97.83,88.82,61.61,67.53,90.90
random_forest,non,-,-,97.68,90.54,57.25,61.81,90.96
random_forest,over,inductive,no,79.45,54.57,80.94,52.84,89.66
random_forest,non,transductive,wards,97.71,92.76,57.43,62.17,89.77
knn,under,-,-,80.15,54.71,81.10,53.28,90.14
knn,under,inductive,no,80.43,54.53,79.45,53.14,88.37
knn,under,transductive,no,80.36,54.50,79.35,53.08,88.42
logistic_regression,non,-,-,82.37,54.77,78.66,54.16,87.91
logistic_regression,non,inductive,caregivers,89.20,56.68,76.59,58.86,88.09
logistic_regression,non,transductive,wards,80.78,54.61,79.63,53.38,88.66
