Model,Balanced,Setting,Links,Accuracy (%),Precision (%),Recall (%),F1-score (%),AUROC (%) (95% CI)
gnn,non,transductive,all,94.42,63.90,84.78,69.16,94.07 (93.59-94.60)
gnn,non,transductive,wards,97.08,72.90,86.08,77.86,96.13 (95.63-96.60)
gnn,non,transductive,caregivers,96.53,65.33,64.12,64.70,89.36 (88.62-89.98)
gnn,non,inductive,all,96.88,67.18,61.90,64.01,89.67 (88.87-90.35)
gnn,non,inductive,wards,97.02,69.56,64.64,66.71,91.23 (90.61-91.85)
gnn,non,inductive,caregivers,90.97,57.46,74.97,60.22,87.90 (87.14-88.67)
catboost,non,-,-,97.07,70.53,66.49,68.27,90.55 (89.94-91.27)
random_forest,non,-,-,96.87,69.79,71.08,70.41,90.97 (90.27-91.59)
knn,under,-,-,97.71,79.22,68.88,72.86,90.14 (89.35-90.83)
logistic_regression,non,-,-,95.92,63.30,66.88,64.85,87.92 (87.17-88.70)
all_ensemble_average,-,-,-,97.05,70.58,68.03,69.21,92.17 (91.68-92.72)
