Model,Balanced,Setting,Links,Accuracy (%),Precision (%),Recall (%),F1-score (%),AUROC (%)
logistic_regression,under,-,-,95.92,63.37,67.01,64.94,87.84
random_forest,under,-,-,97.03,70.14,66.84,68.33,90.70
catboost,under,-,-,95.57,62.60,68.42,64.88,90.02
knn,under,-,-,97.71,79.22,68.88,72.86,90.14
all_ensemble_average,under,-,-,97.15,70.95,64.37,66.99,90.83
all_ensemble_majority,under,-,-,97.32,73.17,64.25,67.56,82.21
all_ensemble_unanimity,under,-,-,95.10,63.46,75.91,67.42,80.89
logistic_regression,non,-,-,95.92,63.30,66.88,64.85,87.91
random_forest,non,-,-,96.98,70.44,70.09,70.26,90.96
catboost,non,-,-,97.07,70.53,66.49,68.27,90.61
knn,non,-,-,96.35,64.48,64.77,64.62,83.77
all_ensemble_average,non,-,-,96.66,67.51,67.77,67.64,90.14
all_ensemble_majority,non,-,-,96.99,69.59,65.97,67.58,57.08
all_ensemble_unanimity,non,-,-,95.13,63.19,74.58,66.90,78.72
logistic_regression,over,-,-,95.76,63.00,67.68,64.93,87.82
random_forest,over,-,-,97.13,71.08,66.35,68.39,90.40
catboost,over,-,-,95.86,64.55,71.27,67.20,90.48
knn,over,-,-,96.59,66.09,65.00,65.52,83.75
all_ensemble_average,over,-,-,97.27,72.62,64.94,67.93,90.73
all_ensemble_majority,over,-,-,97.37,73.97,64.31,67.83,79.85
all_ensemble_unanimity,over,-,-,94.94,62.61,74.21,66.29,81.12
logistic_regression,under,inductive,all,94.62,60.17,68.57,62.92,86.98
random_forest,under,inductive,all,94.59,59.28,66.20,61.61,85.61
catboost,under,inductive,all,95.49,60.97,64.87,62.58,88.40
knn,under,inductive,all,94.99,59.97,65.73,62.08,87.12
logistic_regression,under,inductive,wards,94.91,61.15,69.57,64.01,87.70
random_forest,under,inductive,wards,97.33,63.96,50.59,50.52,84.28
catboost,under,inductive,wards,94.60,60.24,68.93,63.05,87.87
knn,under,inductive,wards,95.87,62.61,65.60,63.92,87.66
logistic_regression,under,inductive,caregivers,93.67,59.26,70.99,62.38,87.38
random_forest,under,inductive,caregivers,93.24,58.36,69.92,61.24,86.72
catboost,under,inductive,caregivers,95.13,61.22,68.19,63.74,88.67
knn,under,inductive,caregivers,95.93,62.52,64.86,63.58,87.54
logistic_regression,under,inductive,no,95.92,63.36,67.01,64.94,87.84
random_forest,under,inductive,no,95.49,61.91,67.26,64.02,88.55
catboost,under,inductive,no,96.11,63.67,65.72,64.61,88.78
knn,under,inductive,no,95.36,62.23,69.23,64.83,88.37
logistic_regression,non,inductive,all,96.16,63.73,65.25,64.44,87.50
random_forest,non,inductive,all,95.84,62.91,66.67,64.52,85.38
catboost,non,inductive,all,95.86,62.45,65.26,63.69,87.76
knn,non,inductive,all,95.75,59.95,60.92,60.40,74.56
logistic_regression,non,inductive,wards,96.02,63.33,65.85,64.47,87.47
random_forest,non,inductive,wards,95.96,62.76,65.11,63.82,84.95
catboost,non,inductive,wards,95.30,61.66,68.11,64.08,87.65
knn,non,inductive,wards,95.94,61.43,62.36,61.88,78.43
logistic_regression,non,inductive,caregivers,95.52,62.33,68.16,64.60,88.09
random_forest,non,inductive,caregivers,97.14,69.78,60.78,63.84,85.25
catboost,non,inductive,caregivers,95.54,61.56,65.94,63.34,87.81
knn,non,inductive,caregivers,95.56,59.90,62.07,60.86,76.64
logistic_regression,non,inductive,no,95.93,63.27,66.68,64.75,87.92
random_forest,non,inductive,no,96.50,65.71,65.62,65.66,88.36
catboost,non,inductive,no,95.92,63.69,67.89,65.48,89.04
knn,non,inductive,no,96.34,64.47,64.80,64.63,83.80
logistic_regression,over,inductive,all,96.21,64.07,65.51,64.75,87.84
random_forest,over,inductive,all,93.93,57.80,65.25,60.04,86.32
catboost,over,inductive,all,92.94,54.80,60.22,56.18,81.58
knn,over,inductive,all,94.85,60.31,67.54,62.82,86.19
logistic_regression,over,inductive,wards,95.71,62.76,67.58,64.73,87.30
random_forest,over,inductive,wards,86.36,55.01,73.86,55.75,85.49
catboost,over,inductive,wards,94.75,60.76,69.55,63.66,88.32
knn,over,inductive,wards,96.33,64.02,63.85,63.93,85.90
logistic_regression,over,inductive,caregivers,96.08,63.57,65.81,64.59,87.51
random_forest,over,inductive,caregivers,93.52,58.53,69.23,61.37,87.13
catboost,over,inductive,caregivers,93.64,56.01,61.59,57.66,83.52
knn,over,inductive,caregivers,95.49,61.02,65.00,62.66,85.50
logistic_regression,over,inductive,no,95.76,63.00,67.68,64.93,87.82
random_forest,over,inductive,no,95.98,64.01,68.12,65.77,89.66
catboost,over,inductive,no,96.26,65.73,69.55,67.41,90.41
knn,over,inductive,no,96.90,68.90,66.47,67.59,85.23
logistic_regression,under,transductive,all,95.92,62.51,64.85,63.57,87.13
random_forest,under,transductive,all,97.02,69.81,65.72,67.51,88.37
catboost,under,transductive,all,96.23,65.00,67.81,66.27,89.69
knn,under,transductive,all,94.38,58.74,65.82,61.04,85.21
logistic_regression,under,transductive,wards,95.64,62.32,67.00,64.23,88.05
random_forest,under,transductive,wards,96.43,65.49,66.19,65.83,87.44
catboost,under,transductive,wards,96.62,66.49,65.48,65.97,88.76
knn,under,transductive,wards,95.98,62.84,65.12,63.87,86.49
logistic_regression,under,transductive,caregivers,96.29,63.98,64.30,64.14,87.26
random_forest,under,transductive,caregivers,97.30,72.97,64.11,67.40,88.92
catboost,under,transductive,caregivers,96.11,64.89,69.07,66.69,90.03
knn,under,transductive,caregivers,95.31,60.20,64.30,61.85,86.03
logistic_regression,under,transductive,no,95.92,63.35,67.01,64.93,87.84
random_forest,under,transductive,no,95.54,61.93,66.85,63.91,88.55
catboost,under,transductive,no,95.65,62.63,67.75,64.70,88.85
knn,under,transductive,no,95.96,63.70,67.51,65.34,88.42
logistic_regression,non,transductive,all,96.15,64.02,66.15,65.00,88.48
random_forest,non,transductive,all,97.12,71.29,68.20,69.61,89.49
catboost,non,transductive,all,97.55,77.08,65.79,69.84,90.69
knn,non,transductive,all,96.06,63.09,64.79,63.88,81.19
logistic_regression,non,transductive,wards,95.82,63.10,67.43,64.92,88.66
random_forest,non,transductive,wards,97.37,74.09,68.77,71.07,89.77
catboost,non,transductive,wards,97.50,75.83,68.84,71.74,90.90
knn,non,transductive,wards,95.76,62.35,66.02,63.91,82.55
logistic_regression,non,transductive,caregivers,95.93,63.38,67.02,64.95,88.23
random_forest,non,transductive,caregivers,97.19,71.83,66.52,68.77,89.49
catboost,non,transductive,caregivers,97.55,77.05,65.18,69.33,90.35
knn,non,transductive,caregivers,95.94,63.11,66.11,64.43,81.03
logistic_regression,non,transductive,no,95.93,63.26,66.68,64.74,87.92
random_forest,non,transductive,no,96.04,63.76,66.70,65.07,88.55
catboost,non,transductive,no,96.46,65.69,66.14,65.91,89.33
knn,non,transductive,no,96.35,64.54,64.84,64.69,83.77
logistic_regression,over,transductive,all,95.98,63.62,67.08,65.13,87.44
random_forest,over,transductive,all,95.24,60.93,66.59,63.08,88.12
catboost,over,transductive,all,94.46,60.27,69.87,63.25,89.00
knn,over,transductive,all,84.96,51.12,55.17,49.74,64.86
logistic_regression,over,transductive,wards,95.81,62.95,67.12,64.71,87.33
random_forest,over,transductive,wards,94.35,58.98,66.61,61.42,86.63
catboost,over,transductive,wards,93.53,58.33,68.52,61.05,87.89
knn,over,transductive,wards,73.70,52.32,67.86,47.77,73.29
logistic_regression,over,transductive,caregivers,95.67,62.81,68.03,64.92,87.58
random_forest,over,transductive,caregivers,95.16,60.81,66.83,63.05,87.23
catboost,over,transductive,caregivers,95.48,60.93,64.80,62.52,87.96
knn,over,transductive,caregivers,90.59,52.41,56.85,52.81,68.33
logistic_regression,over,transductive,no,95.76,63.00,67.68,64.93,87.82
random_forest,over,transductive,no,96.24,64.93,67.41,66.07,89.66
catboost,over,transductive,no,96.10,65.29,70.58,67.50,90.50
knn,over,transductive,no,96.82,68.23,66.29,67.20,85.27
gnn,under,inductive,all,96.39,61.43,58.61,59.80,83.17
gnn,under,inductive,wards,94.34,58.30,64.85,60.45,84.03
gnn,under,inductive,caregivers,97.19,66.21,53.79,55.78,82.15
gnn,under,inductive,no,86.17,54.94,73.79,55.59,83.32
all_gnn_ensemble_average,under,inductive,ensemble_average,97.29,68.72,52.96,54.66,83.86
all_gnn_ensemble_majority,under,inductive,ensemble_majority,96.39,61.29,58.47,59.65,58.46
all_gnn_ensemble_unanimity,under,inductive,ensemble_unanimity,93.92,58.16,66.32,60.58,54.76
gnn,non,inductive,all,96.59,65.94,64.66,65.27,89.53
