Model,Balanced,Setting,Links,Accuracy (%),Precision (%),Recall (%),F1-score (%),AUROC (%) (95% CI)
logistic_regression,under,-,-,81.92,54.67,78.56,53.87,87.85 (86.95-88.58)
random_forest,under,-,-,77.79,54.45,81.84,52.05,90.76 (90.11-91.44)
catboost,under,-,-,77.77,54.43,81.70,52.02,90.08 (89.31-90.70)
knn,under,-,-,80.15,54.71,81.10,53.28,90.14 (89.35-90.83)
all_ensemble_average,under,-,-,79.91,54.80,82.09,53.31,90.83 (89.80-91.86)
all_ensemble_majority,under,-,-,82.13,55.23,82.21,54.71,82.21 (80.88-83.55)
all_ensemble_unanimity,under,-,-,71.41,53.71,80.89,48.58,80.89 (79.53-82.26)
logistic_regression,non,-,-,82.37,54.78,78.66,54.17,87.92 (87.17-88.70)
random_forest,non,-,-,97.68,90.07,57.42,62.04,90.97 (90.27-91.59)
catboost,non,-,-,97.68,87.19,58.33,63.18,90.55 (89.94-91.27)
knn,non,-,-,97.42,79.02,52.25,53.60,83.78 (82.77-84.87)
all_ensemble_average,non,-,-,97.59,79.98,60.27,65.01,90.14 (89.08-91.20)
all_ensemble_majority,non,-,-,97.68,90.88,57.08,61.58,57.08 (55.52-58.63)
all_ensemble_unanimity,non,-,-,82.37,54.79,78.72,54.18,78.72 (77.31-80.13)
logistic_regression,over,-,-,81.77,54.65,78.62,53.79,87.84 (87.00-88.62)
random_forest,over,-,-,87.70,56.48,79.37,58.23,90.46 (89.86-91.07)
catboost,over,-,-,85.80,56.04,81.06,57.08,90.35 (89.68-91.07)
knn,over,-,-,82.72,54.78,78.16,54.29,83.78 (82.51-85.10)
all_ensemble_average,over,-,-,86.77,56.34,80.78,57.79,90.73 (89.70-91.77)
all_ensemble_majority,over,-,-,88.70,57.04,79.85,59.29,79.85 (78.46-81.24)
all_ensemble_unanimity,over,-,-,72.77,53.84,81.12,49.29,81.12 (79.76-82.48)
logistic_regression,under,inductive,all,82.21,54.48,76.89,53.71,87.02 (86.27-87.89)
random_forest,under,inductive,all,60.75,52.48,73.53,42.65,85.58 (84.84-86.29)
catboost,under,inductive,all,73.42,53.70,79.50,49.39,88.45 (87.74-89.08)
knn,under,inductive,all,88.16,55.91,75.18,57.52,87.12 (86.25-87.89)
logistic_regression,under,inductive,wards,81.49,54.56,78.34,53.56,87.70 (87.04-88.44)
random_forest,under,inductive,wards,74.10,53.47,77.01,49.37,84.20 (83.42-84.88)
catboost,under,inductive,wards,75.76,53.84,78.84,50.48,87.87 (87.15-88.64)
knn,under,inductive,wards,86.23,55.54,77.16,56.48,87.66 (86.93-88.52)
logistic_regression,under,inductive,caregivers,79.65,54.21,77.97,52.43,87.31 (86.56-88.00)
random_forest,under,inductive,caregivers,64.28,52.89,76.56,44.62,86.79 (86.02-87.57)
catboost,under,inductive,caregivers,74.89,53.84,79.58,50.15,88.64 (88.04-89.46)
knn,under,inductive,caregivers,82.70,54.75,78.02,54.24,87.53 (86.73-88.26)
logistic_regression,non,inductive,all,95.07,61.28,68.80,63.94,87.45 (86.64-88.20)
random_forest,non,inductive,all,97.37,48.69,50.00,49.33,85.38 (84.58-86.22)
catboost,non,inductive,all,97.37,48.69,50.00,49.33,87.75 (86.95-88.48)
knn,non,inductive,all,97.41,81.80,51.47,52.20,74.43 (72.73-75.90)
logistic_regression,non,inductive,wards,93.00,58.69,72.16,61.83,87.45 (86.59-88.27)
